id,variavel
TO,94.930789375
SP,278.79675816500003
SE,35.502308101
SC,204.856500853
RS,169.193686172
RR,114.904132524
RO,152.470845527
RN,26.228469331
RJ,107.428553239
PR,148.470107272
PI,45.586100748
PE,46.399326073
PB,NA
PA,26.455537605
MT,124.862104289
MS,136.239209942
MG,125.001826701
MA,25.325198909
GO,160.273558067
ES,88.956406985
DF,292.843990896
CE,NA
BA,36.214899132
AP,85.096522628
AM,47.44764947
AL,25.983762407
AC,10.251853877
